"listing_id","listing_url","listing_name","neighborhood_overview","picture_url","property_type","room_type","bedrooms","beds","bathrooms","bathrooms_text","license","avg_price_2023","minimum_minimum_nights_2024","maximum_minimum_nights_2024","minimum_maximum_nights_2024","maximum_maximum_nights_2024","price"
4371,"https://www.airbnb.com/rooms/909267758481910084","Rental unit in Barcelona · ★4.20 · 5 bedrooms · 7 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-909267758481910084/original/ebc7f3e3-d70d-4a29-b133-97597959a1ce.jpeg","Entire rental unit","Entire home/apt",5,7,"2","2 baths","HUTB-071374","74",2,3,2,45,"74"
4371,"https://www.airbnb.com/rooms/909267758481910084","Rental unit in Barcelona · ★4.20 · 5 bedrooms · 7 beds · 2 baths",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-909267758481910084/original/ebc7f3e3-d70d-4a29-b133-97597959a1ce.jpeg","Entire rental unit","Entire home/apt",5,7,"2","2 baths","HUTB-071374","74",2,3,2,45,"74"
8869,"https://www.airbnb.com/rooms/929816226518316943","Rental unit in Barcelona · ★4.67 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-929816226518316943/original/1dd2b079-298b-4ad7-b5a0-524600a96cae.jpeg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-006881","92",2,3,2,1125,"92"
2011,"https://www.airbnb.com/rooms/21762984","Rental unit in Barcelona · ★3.29 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/5570af76-870e-486e-8d7c-94e863ecf935.jpg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-010850","114",1,2,2,1125,"114"
2011,"https://www.airbnb.com/rooms/21762984","Rental unit in Barcelona · ★3.29 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/5570af76-870e-486e-8d7c-94e863ecf935.jpg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-010850","114",1,2,2,1125,"114"
1292,"https://www.airbnb.com/rooms/937657","Rental unit in Barcelona · ★4.61 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/f4377a8e-7129-4360-adbd-9057b9189d6c.jpg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-006882","161",2,3,2,1125,"115"
13793,"https://www.airbnb.com/rooms/53425552","Rental unit in Barcelona · ★3.50 · 3 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-53425552/original/eccf3c9b-7a4d-4ebd-a5d4-c07c3364d5ef.jpeg","Entire rental unit","Entire home/apt",3,3,"1","1 bath","HUTB-012566","180",2,3,2,1125,"132"
4928,"https://www.airbnb.com/rooms/40573479","Rental unit in BARCELONA · ★4.43 · 2 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-40573479/original/be292cf0-bb00-4dda-ab6f-ffde08b765d7.jpeg","Entire rental unit","Entire home/apt",2,5,"1","1 bath","HUTB-002335","95",2,3,3,45,"158"
4928,"https://www.airbnb.com/rooms/40573479","Rental unit in BARCELONA · ★4.43 · 2 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-40573479/original/be292cf0-bb00-4dda-ab6f-ffde08b765d7.jpeg","Entire rental unit","Entire home/apt",2,5,"1","1 bath","HUTB-002335","95",2,3,3,45,"158"
4928,"https://www.airbnb.com/rooms/40573479","Rental unit in BARCELONA · ★4.43 · 2 bedrooms · 5 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-40573479/original/be292cf0-bb00-4dda-ab6f-ffde08b765d7.jpeg","Entire rental unit","Entire home/apt",2,5,"1","1 bath","HUTB-002335","95",2,3,3,45,"158"
14222,"https://www.airbnb.com/rooms/50711550","Rental unit in Barcelona · ★3.86 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50711550/original/436cf1dc-b301-4a79-8d15-ee41f700cda6.jpeg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-005316","98",2,3,2,45,"160"
14222,"https://www.airbnb.com/rooms/50711550","Rental unit in Barcelona · ★3.86 · 3 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-50711550/original/436cf1dc-b301-4a79-8d15-ee41f700cda6.jpeg","Entire rental unit","Entire home/apt",3,4,"1","1 bath","HUTB-005316","98",2,3,2,45,"160"
12431,"https://www.airbnb.com/rooms/40573472","Rental unit in BARCELONA · ★4.22 · 2 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-40573472/original/f6554089-13bd-42c4-8730-7db4f189f641.jpeg","Entire rental unit","Entire home/apt",2,4,"1","1 bath","HUTB-002332","97",2,3,2,45,"165"
12431,"https://www.airbnb.com/rooms/40573472","Rental unit in BARCELONA · ★4.22 · 2 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-40573472/original/f6554089-13bd-42c4-8730-7db4f189f641.jpeg","Entire rental unit","Entire home/apt",2,4,"1","1 bath","HUTB-002332","97",2,3,2,45,"165"
10728,"https://www.airbnb.com/rooms/41016720","Rental unit in BARCELONA · ★4.10 · 2 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-41016720/original/480d6605-c9cf-47a1-ba06-51003c7a44b4.jpeg","Entire rental unit","Entire home/apt",2,4,"1","1 bath","HUTB-001461","96",2,3,2,45,"187"
10728,"https://www.airbnb.com/rooms/41016720","Rental unit in BARCELONA · ★4.10 · 2 bedrooms · 4 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-41016720/original/480d6605-c9cf-47a1-ba06-51003c7a44b4.jpeg","Entire rental unit","Entire home/apt",2,4,"1","1 bath","HUTB-001461","96",2,3,2,45,"187"
