"listing_id","listing_url","listing_name","neighborhood_overview","picture_url","property_type","room_type","bedrooms","beds","bathrooms","bathrooms_text","license","avg_price_2023","minimum_minimum_nights_2024","maximum_minimum_nights_2024","minimum_maximum_nights_2024","maximum_maximum_nights_2024"
16274,"https://www.airbnb.com/rooms/661255156649009930","Rental unit in Barcelona · ★4.39 · 3 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-661255156649009930/original/477fdd5f-044c-47d4-9bd1-d322d7cb5d22.jpeg","Entire rental unit","Entire home/apt",3,3,"1","1 bath","HUTB-073192","52",2,4,2,1125
18009,"https://www.airbnb.com/rooms/663640295905549218","Rental unit in Barcelona · ★3.98 · 3 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-663640295905549218/original/aa83c8f1-9b00-4f1e-baa4-a9dcfc32e7c5.jpeg","Entire rental unit","Entire home/apt",3,3,"1","1 bath","HUTB-073211","46",2,4,2,1125
3399,"https://www.airbnb.com/rooms/669939063554970104","Rental unit in Barcelona · ★4.38 · 3 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-669939063554970104/original/f3839418-0b7f-45e2-aa3a-87ecb7a4840b.jpeg","Entire rental unit","Entire home/apt",3,3,"1","1 bath","HUTB-007985","64",2,4,2,1125
3399,"https://www.airbnb.com/rooms/669939063554970104","Rental unit in Barcelona · ★4.38 · 3 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-669939063554970104/original/f3839418-0b7f-45e2-aa3a-87ecb7a4840b.jpeg","Entire rental unit","Entire home/apt",3,3,"1","1 bath","HUTB-007985","64",2,4,2,1125
15843,"https://www.airbnb.com/rooms/853382701075512414","Rental unit in Barcelona · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/prohost-api/Hosting-853382701075512414/original/f2d232b6-4331-4a68-861c-ae146bbb606f.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-007075","141",1,1,1,365
2390,"https://www.airbnb.com/rooms/18819488","Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-18819488/original/ff90dd85-62a1-454d-b0b2-65b8b4c62b0c.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-003314","187",1,4,7,7
2390,"https://www.airbnb.com/rooms/18819488","Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-18819488/original/ff90dd85-62a1-454d-b0b2-65b8b4c62b0c.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-003314","187",1,4,7,7
2390,"https://www.airbnb.com/rooms/18819488","Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-18819488/original/ff90dd85-62a1-454d-b0b2-65b8b4c62b0c.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-003314","187",1,4,7,7
2390,"https://www.airbnb.com/rooms/18819488","Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-18819488/original/ff90dd85-62a1-454d-b0b2-65b8b4c62b0c.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-003314","187",1,4,7,7
2390,"https://www.airbnb.com/rooms/18819488","Rental unit in Barcelona · ★4.88 · 2 bedrooms · 3 beds · 1 bath",NULL,"https://a0.muscache.com/pictures/miso/Hosting-18819488/original/ff90dd85-62a1-454d-b0b2-65b8b4c62b0c.jpeg","Entire rental unit","Entire home/apt",2,3,"1","1 bath","HUTB-003314","187",1,4,7,7
