"neighbourhood","avg_price_for_neighbourhood"
"el Guinardó","1612.4435252712167"
"Vallbona","410"
"la Dreta de l'Eixample","395.03349709691827"
"la Sagrera","357.57565882686316"
"el Poblenou","307.71971496437055"
"la Nova Esquerra de l'Eixample","298.9548005253373"
"Sant Antoni","289.9696209199397"
"la Salut","279.8304753095204"
"Sant Gervasi - la Bonanova","276.6543336193808"
"l'Antiga Esquerra de l'Eixample","253.63617484534382"
"la Maternitat i Sant Ramon","252.62222222222223"
"la Vila Olímpica del Poblenou","248.42715550779948"
"el Camp de l'Arpa del Clot","239.44069431051108"
"Diagonal Mar i el Front Marítim del Poblenou","229.56643356643357"
"el Fort Pienc","221.77596381327737"
"el Camp d'en Grassot i Gràcia Nova","219.2134285141952"
"la Sagrada Família","209.9344580056147"
"el Clot","209.74924061618572"
"Sarrià","207.03140746538818"
"Sants - Badal","206.2008733624454"
"el Parc i la Llacuna del Poblenou","205.960272826902"
"les Tres Torres","200.20845860893968"
"el Poble Sec","187.16132729374118"
"la Vila de Gràcia","185.3373775741237"
"Hostafrancs","183.48413756966607"
"el Raval","179.48778833107193"
"el Barri Gòtic","179.4520357658805"
"la Marina del Prat Vermell","174.66666666666666"
"la Barceloneta","165.51720892189448"
"Vallcarca i els Penitents","155.9500670528148"
"Sant Gervasi - Galvany","154.73478913048868"
"el Besòs i el Maresme","151.68071768799823"
"Pedralbes","149.10256410256412"
"el Putxet i el Farró","148.61908196878983"
"el Baix Guinardó","147.51784611822814"
"la Font d'en Fargues","144.07142857142858"
"Sant Pere, Santa Caterina i la Ribera","140.47287506215986"
"Sants","133.57082593941658"
"les Corts","130.2409077418324"
"el Coll","127.02686224264382"
"la Font de la Guatlla","121.51635709068141"
"el Bon Pastor","113.21428571428571"
"Provençals del Poblenou","104.74698795180723"
"Sant Genís dels Agudells","102.27272727272727"
"Torre Baró","102"
"Vilapicina i la Torre Llobeta","98.86508004451673"
"Vallvidrera, el Tibidabo i les Planes","96.04545454545455"
"el Carmel","91.92578798325536"
"Can Baró","83.51239393331997"
"el Congrés i els Indians","79.94888413737806"
"la Bordeta","77.85921524750184"
"Navas","77.02685265282584"
"Porta","72.46811060696858"
"Sant Andreu","69.39053457073388"
"la Marina de Port","67.93254924188749"
"la Verneda i la Pau","67.64397905759162"
"Verdun","66.6"
"la Teixonera","56.4594395280236"
"Horta","55.61538461538461"
"Sant Martí de Provençals","54.827691864027976"
"les Roquetes","49.47840799226555"
"la Vall d'Hebron","47.9"
"Can Peguera","47.333333333333336"
"Montbau","45.25"
"la Guineueta","44.9"
"la Trinitat Nova","44.8"
"la Prosperitat","42.6551724137931"
"Canyelles","40"
"la Trinitat Vella","36.4"
"la Clota","34.333333333333336"
"el Turó de la Peira","30.644261813912532"
